Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
1700 Block of Gough  Street,San Francisco,CA,94109,04/11/2000,Pacific Heights,"(37.7894646096535, -122.425587859593)"
0 Block of Mirabel  Avenue,San Francisco,CA,94110,04/10/2000,Bernal Heights,"(37.7465186155044, -122.416516157832)"
4400 Block of 19th   Street,San Francisco,CA,94114,04/10/2000,Castro/Upper Market,"(37.7591149658207, -122.438645177127)"
1200 Block of Mason  Street,San Francisco,CA,94108,04/07/2000,Chinatown,"(37.794976251865, -122.411384436961)"
1200 Block of Mason  Street,San Francisco,CA,94108,04/07/2000,Chinatown,"(37.794976251865, -122.411384436961)"
500 Block of Broderick  Street,San Francisco,CA,94117,04/07/2000,Hayes Valley,"(37.7752371577455, -122.43962967309)"
500 Block of Broderick  Street,San Francisco,CA,94117,04/07/2000,Hayes Valley,"(37.7752371577455, -122.43962967309)"
500 Block of Broderick  Street,San Francisco,CA,94117,04/07/2000,Hayes Valley,"(37.7752371577455, -122.43962967309)"
1200 Block of Mason  Street,San Francisco,CA,94108,04/07/2000,Chinatown,"(37.794976251865, -122.411384436961)"
1200 Block of Mason  Street,San Francisco,CA,94108,04/07/2000,Chinatown,"(37.794976251865, -122.411384436961)"
500 Block of Broderick  Street,San Francisco,CA,94117,04/07/2000,Hayes Valley,"(37.7752371577455, -122.43962967309)"
1200 Block of Mason  Street,San Francisco,CA,94108,04/07/2000,Chinatown,"(37.794976251865, -122.411384436961)"
1200 Block of Mason  Street,San Francisco,CA,94108,04/07/2000,Chinatown,"(37.794976251865, -122.411384436961)"
100 Block of Belvedere  Street,San Francisco,CA,94117,03/30/2000,Haight Ashbury,"(37.7677916969149, -122.4493322947)"
100 Block of Belvedere  Street,San Francisco,CA,94117,03/30/2000,Haight Ashbury,"(37.7677916969149, -122.4493322947)"
100 Block of Belvedere  Street,San Francisco,CA,94117,03/30/2000,Haight Ashbury,"(37.7677916969149, -122.4493322947)"
1700 Block of Gough  Street,San Francisco,CA,94102,03/24/2000,Pacific Heights,"(37.7894646096535, -122.425587859593)"
1700 Block of Gough  Street,San Francisco,CA,94102,03/24/2000,Pacific Heights,"(37.7894646096535, -122.425587859593)"
300 Block of Moncada  Way,San Francisco,CA,94127,03/20/2000,West of Twin Peaks,"(37.7296962226267, -122.470055977848)"
2200 Block of Jackson  Street,San Francisco,CA,94115,03/08/2000,Pacific Heights,"(37.7928385254495, -122.432101129469)"
2200 Block of Jackson   Street,San Francisco,CA,94115,03/08/2000,Pacific Heights,"(37.7928385254495, -122.432101129469)"
300 Block of Hermann  Street,San Francisco,CA,94117,03/03/2000,Hayes Valley,"(37.7701932055001, -122.430906223147)"
0 Block of Cumberland  Street,San Francisco,CA,94110,02/27/2000,Mission,"(37.7591515867378, -122.424733436252)"
300 Block of Hermann  Street,San Francisco,CA,94117,02/25/2000,Hayes Valley,"(37.7701932055001, -122.430906223147)"
